age,Sr
53.879,0.707747
54.065,0.707760
54.156,0.707747
54.254,0.707749
54.352,0.707790
54.447,0.707799
54.529,0.707797
54.630,0.707761
54.752,0.707758
54.854,0.707800
55.022,0.707832
55.087,0.707830
55.319,0.707811
55.377,0.707756
55.436,0.707766
55.497,0.707765
55.559,0.707761
55.617,0.707768
55.676,0.707761
55.797,0.707758
55.855,0.707758
55.919,0.707765
55.980,0.707780
56.043,0.707820
56.103,0.707770
56.332,0.707780
56.388,0.707769
56.449,0.707779
56.609,0.707774
56.684,0.707780
56.754,0.707800
56.948,0.707806
57.131,0.707782
57.20,0.707743
57.276,0.707784
57.620,0.707798
58.607,0.707831
58.993,0.707818
59.216,0.707812
59.489,0.707808
59.582,0.707805
59.666,0.707847
59.738,0.707833
59.883,0.707880
60.00,0.707727
60.044,0.707893
60.159,0.707836
60.389,0.707841
60.832,0.707830
61.00,0.707794
61.092,0.707836
61.270,0.707829
61.363,0.707834
61.456,0.707816
61.646,0.707829
61.90,0.707824
62.163,0.707837
62.262,0.707835
62.691,0.707838
62.82,0.707838
62.90,0.707811
63.00,0.707764
63.256,0.707851
63.65,0.707801
63.67,0.707874
63.729,0.707925
63.74,0.707803
63.837,0.707875
63.837,0.707875
64.00,0.707873
64.06,0.707898
64.06,0.707863
64.113,0.707897
64.113,0.707897
64.26,0.707833
64.37,0.707871
64.412,0.707928
64.412,0.707928
64.41,0.707795
64.41,0.707829
64.50,0.707817
64.77,0.707813
64.94,0.707851
65.00,0.707854
65.27,0.707818
65.27,0.707836
65.32,0.707842
65.50,0.707877
65.55,0.707886
65.59,0.707846
65.79,0.707886
65.88,0.707889
65.88,0.707874
65.90,0.707863
65.97,0.707861
66.00,0.707959
66.03,0.707903
66.06,0.707881
66.07,0.707863
66.08,0.707890
66.19,0.707871
66.20,0.707889
66.27,0.707913
66.27,0.707859
66.28,0.707874
66.28,0.707860
66.28,0.707874
66.29,0.707877
66.29,0.707888
66.30,0.707877
66.30,0.707882
66.31,0.707943
66.31,0.707896
66.32,0.707886
66.32,0.707882
66.33,0.707879
66.34,0.707915
66.36,0.707882
66.37,0.707913
66.39,0.707885
66.40,0.707863
66.40,0.707863
66.40,0.707830
66.41,0.707857
66.41,0.707870
66.42,0.707803
66.42,0.707825
66.42,0.707832
66.42,0.707868
66.42,0.707878
66.44,0.707868
66.44,0.707886
66.45,0.707872
66.45,0.707871
66.47,0.707840
66.48,0.707847
66.48,0.707867
66.48,0.707881
66.52,0.707842
66.55,0.707866
66.58,0.707845
66.65,0.707871
66.65,0.707882
66.73,0.707829
66.77,0.707856
66.81,0.707869
66.88,0.707886
66.95,0.707847
66.97,0.707828
66.97,0.707831
66.97,0.707851
66.97,0.707850
66.97,0.707838
66.97,0.707868
66.97,0.707855
67.00,0.707782
67.00,0.707870
67.10,0.707788
67.47,0.707817
67.66,0.707836
68.13,0.707838
68.22,0.707852
68.63,0.707834
68.73,0.707815
68.89,0.707797
69.00,0.707756
69.50,0.707786
69.55,0.707730
69.89,0.707753
69.90,0.707774
71.10,0.707760
72.10,0.707759
73.20,0.707653
75.10,0.707679
75.90,0.707705
77.00,0.707567
78.30,0.707531
79.20,0.707597
84.00,0.707487
85.30,0.707489
96.80,0.707438
100.90,0.707375
